Run,download_path,LibraryLayout
SRR1569412,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569412/SRR1569412.sra,SINGLE
SRR1569430,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569430/SRR1569430.sra,SINGLE
SRR1569432,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569432/SRR1569432.sra,SINGLE
SRR1569463,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569463/SRR1569463.sra,SINGLE
SRR1569464,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569464/SRR1569464.sra,SINGLE
SRR1569465,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569465/SRR1569465.sra,SINGLE
SRR1569467,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569467/SRR1569467.sra,SINGLE
SRR1569468,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569468/SRR1569468.sra,SINGLE
SRR1569469,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569469/SRR1569469.sra,SINGLE
SRR1569471,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569471/SRR1569471.sra,SINGLE
SRR1569472,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569472/SRR1569472.sra,SINGLE
SRR1569473,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569473/SRR1569473.sra,SINGLE
SRR1569474,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569474/SRR1569474.sra,SINGLE
SRR1569475,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569475/SRR1569475.sra,SINGLE
SRR1569476,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569476/SRR1569476.sra,SINGLE
SRR1569477,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569477/SRR1569477.sra,SINGLE
SRR1569478,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569478/SRR1569478.sra,SINGLE
SRR1569479,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569479/SRR1569479.sra,SINGLE
SRR1569486,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569486/SRR1569486.sra,SINGLE
SRR1569488,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569488/SRR1569488.sra,SINGLE
SRR1569490,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR156/SRR1569490/SRR1569490.sra,SINGLE
SRR941787,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941787/SRR941787.sra,PAIRED
SRR941788,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941788/SRR941788.sra,PAIRED
SRR941789,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941789/SRR941789.sra,PAIRED
SRR941790,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941790/SRR941790.sra,PAIRED
SRR941791,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941791/SRR941791.sra,PAIRED
SRR941792,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941792/SRR941792.sra,PAIRED
SRR941793,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941793/SRR941793.sra,PAIRED
SRR941794,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941794/SRR941794.sra,PAIRED
SRR941795,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941795/SRR941795.sra,PAIRED
SRR941796,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941796/SRR941796.sra,PAIRED
SRR941797,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941797/SRR941797.sra,PAIRED
SRR941798,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941798/SRR941798.sra,PAIRED
